ZIPCODE,MONTH,YEAR,CUSTOMERCLASS,COMBINED,TOTALCUSTOMERS,TOTALKWH,AVERAGEKWH
93638,9,2022,Elec- Agricultural,N,323,8410639,26039
93640,7,2022,Elec- Agricultural,Y,299,30602659,102350
93640,8,2022,Elec- Agricultural,Y,299,26682950,89241
93640,9,2022,Elec- Agricultural,Y,298,19420757,65170
93641,7,2022,Elec- Agricultural,Y,0,0,
93641,8,2022,Elec- Agricultural,Y,0,0,
93641,9,2022,Elec- Agricultural,Y,0,0,
93643,7,2022,Elec- Agricultural,Y,0,0,
93643,8,2022,Elec- Agricultural,Y,0,0,
93643,9,2022,Elec- Agricultural,Y,0,0,
93644,7,2022,Elec- Agricultural,Y,0,0,
93644,8,2022,Elec- Agricultural,Y,0,0,
93644,9,2022,Elec- Agricultural,Y,0,0,
93645,7,2022,Elec- Agricultural,Y,0,0,
93645,8,2022,Elec- Agricultural,Y,0,0,
93645,9,2022,Elec- Agricultural,Y,0,0,
93646,7,2022,Elec- Agricultural,Y,0,0,
93646,8,2022,Elec- Agricultural,Y,0,0,
93646,9,2022,Elec- Agricultural,Y,0,0,
93647,7,2022,Elec- Agricultural,Y,335,2767432,8261
93647,8,2022,Elec- Agricultural,Y,336,2779146,8271
93647,9,2022,Elec- Agricultural,Y,335,2275736,6793
93648,7,2022,Elec- Agricultural,Y,0,0,
93648,8,2022,Elec- Agricultural,Y,0,0,
93648,9,2022,Elec- Agricultural,Y,0,0,
93650,7,2022,Elec- Agricultural,Y,0,0,
93650,8,2022,Elec- Agricultural,Y,0,0,
93650,9,2022,Elec- Agricultural,Y,0,0,
93651,7,2022,Elec- Agricultural,Y,0,0,
93651,8,2022,Elec- Agricultural,Y,0,0,
93651,9,2022,Elec- Agricultural,Y,0,0,
93652,7,2022,Elec- Agricultural,Y,0,0,
93652,8,2022,Elec- Agricultural,Y,0,0,
93652,9,2022,Elec- Agricultural,Y,0,0,
93653,7,2022,Elec- Agricultural,Y,0,0,
93653,8,2022,Elec- Agricultural,Y,0,0,
93653,9,2022,Elec- Agricultural,Y,0,0,
93654,7,2022,Elec- Agricultural,Y,1100,16708040,15189
93654,8,2022,Elec- Agricultural,Y,1096,17377542,15855
93654,9,2022,Elec- Agricultural,Y,1096,14418607,13156
93656,7,2022,Elec- Agricultural,Y,0,0,
93656,8,2022,Elec- Agricultural,Y,0,0,
93656,9,2022,Elec- Agricultural,Y,0,0,
93657,7,2022,Elec- Agricultural,N,751,5295418,7051
93657,8,2022,Elec- Agricultural,N,747,5128335,6865
93657,9,2022,Elec- Agricultural,N,744,4825676,6486
93660,7,2022,Elec- Agricultural,Y,0,0,
93660,8,2022,Elec- Agricultural,Y,0,0,
93660,9,2022,Elec- Agricultural,Y,0,0,
93662,7,2022,Elec- Agricultural,Y,793,13220323,16671
93662,8,2022,Elec- Agricultural,Y,791,10375296,13117
93662,9,2022,Elec- Agricultural,Y,788,8201519,10408
93667,7,2022,Elec- Agricultural,Y,0,0,
93667,8,2022,Elec- Agricultural,Y,0,0,
93667,9,2022,Elec- Agricultural,Y,0,0,
93668,7,2022,Elec- Agricultural,Y,0,0,
93668,8,2022,Elec- Agricultural,Y,0,0,
93668,9,2022,Elec- Agricultural,Y,0,0,
93675,7,2022,Elec- Agricultural,Y,0,0,
93675,8,2022,Elec- Agricultural,Y,0,0,
93675,9,2022,Elec- Agricultural,Y,0,0,
93701,7,2022,Elec- Agricultural,Y,0,0,
93701,8,2022,Elec- Agricultural,Y,0,0,
93701,9,2022,Elec- Agricultural,Y,0,0,
93702,7,2022,Elec- Agricultural,Y,0,0,
93702,8,2022,Elec- Agricultural,Y,0,0,
93702,9,2022,Elec- Agricultural,Y,0,0,
93703,7,2022,Elec- Agricultural,Y,0,0,
93703,8,2022,Elec- Agricultural,Y,0,0,
93703,9,2022,Elec- Agricultural,Y,0,0,
93704,7,2022,Elec- Agricultural,Y,0,0,
93704,8,2022,Elec- Agricultural,Y,0,0,
93704,9,2022,Elec- Agricultural,Y,0,0,
93705,7,2022,Elec- Agricultural,Y,0,0,
93705,8,2022,Elec- Agricultural,Y,0,0,
93705,9,2022,Elec- Agricultural,Y,0,0,
93706,7,2022,Elec- Agricultural,Y,1222,19378907,15858
93706,8,2022,Elec- Agricultural,N,691,11029023,15961
93706,9,2022,Elec- Agricultural,N,692,8740564,12631
93710,7,2022,Elec- Agricultural,Y,0,0,
93710,8,2022,Elec- Agricultural,Y,0,0,
93710,9,2022,Elec- Agricultural,Y,0,0,
93711,7,2022,Elec- Agricultural,Y,0,0,
93711,8,2022,Elec- Agricultural,Y,0,0,
93711,9,2022,Elec- Agricultural,Y,0,0,
93720,7,2022,Elec- Agricultural,Y,0,0,
93720,8,2022,Elec- Agricultural,Y,0,0,
93720,9,2022,Elec- Agricultural,Y,0,0,
93721,7,2022,Elec- Agricultural,Y,104,783790,7536
93721,8,2022,Elec- Agricultural,Y,0,0,
93721,9,2022,Elec- Agricultural,Y,0,0,
93722,7,2022,Elec- Agricultural,Y,0,0,
93722,8,2022,Elec- Agricultural,Y,0,0,
93722,9,2022,Elec- Agricultural,Y,0,0,
93723,7,2022,Elec- Agricultural,Y,0,0,
93723,8,2022,Elec- Agricultural,Y,0,0,
93723,9,2022,Elec- Agricultural,Y,0,0,
93725,7,2022,Elec- Agricultural,Y,799,9775418,12235
93725,8,2022,Elec- Agricultural,Y,1955,17654595,9030
93725,9,2022,Elec- Agricultural,Y,1960,13653353,6966
93726,7,2022,Elec- Agricultural,Y,0,0,
93726,8,2022,Elec- Agricultural,Y,0,0,
93726,9,2022,Elec- Agricultural,Y,0,0,
93727,7,2022,Elec- Agricultural,Y,191,1275938,6680
93727,8,2022,Elec- Agricultural,Y,0,0,
93727,9,2022,Elec- Agricultural,Y,0,0,
93728,7,2022,Elec- Agricultural,Y,0,0,
93728,8,2022,Elec- Agricultural,Y,0,0,
93728,9,2022,Elec- Agricultural,Y,0,0,
93730,7,2022,Elec- Agricultural,Y,0,0,
93730,8,2022,Elec- Agricultural,Y,0,0,
93730,9,2022,Elec- Agricultural,Y,0,0,
93737,7,2022,Elec- Agricultural,Y,0,0,
93737,8,2022,Elec- Agricultural,Y,0,0,
93737,9,2022,Elec- Agricultural,Y,0,0,
93740,7,2022,Elec- Agricultural,Y,0,0,
93740,8,2022,Elec- Agricultural,Y,0,0,
93740,9,2022,Elec- Agricultural,Y,0,0,
93741,7,2022,Elec- Agricultural,Y,0,0,
93741,8,2022,Elec- Agricultural,Y,0,0,
93741,9,2022,Elec- Agricultural,Y,0,0,
93901,7,2022,Elec- Agricultural,Y,292,22264805,76249
93901,8,2022,Elec- Agricultural,Y,293,22366998,76338
93901,9,2022,Elec- Agricultural,Y,112,13101826,116981
93905,7,2022,Elec- Agricultural,Y,0,0,
93905,8,2022,Elec- Agricultural,Y,0,0,
93905,9,2022,Elec- Agricultural,Y,0,0,
93906,7,2022,Elec- Agricultural,Y,0,0,
93906,8,2022,Elec- Agricultural,Y,0,0,
93906,9,2022,Elec- Agricultural,Y,0,0,
93907,7,2022,Elec- Agricultural,Y,0,0,
93907,8,2022,Elec- Agricultural,Y,0,0,
93907,9,2022,Elec- Agricultural,Y,0,0,
93908,7,2022,Elec- Agricultural,Y,214,11938493,55787
93908,8,2022,Elec- Agricultural,Y,214,11358510,53077
93908,9,2022,Elec- Agricultural,Y,174,7573120,43524
93920,7,2022,Elec- Agricultural,Y,0,0,
93920,8,2022,Elec- Agricultural,Y,0,0,
93920,9,2022,Elec- Agricultural,Y,0,0,
93923,7,2022,Elec- Agricultural,Y,0,0,
93923,8,2022,Elec- Agricultural,Y,0,0,
93923,9,2022,Elec- Agricultural,Y,0,0,
93924,7,2022,Elec- Agricultural,Y,59,71842,1218
93924,8,2022,Elec- Agricultural,Y,59,74876,1269
93924,9,2022,Elec- Agricultural,Y,59,67296,1141
93925,7,2022,Elec- Agricultural,Y,0,0,
93925,8,2022,Elec- Agricultural,Y,0,0,
93925,9,2022,Elec- Agricultural,Y,0,0,
93926,7,2022,Elec- Agricultural,Y,0,0,
93926,8,2022,Elec- Agricultural,Y,0,0,
93926,9,2022,Elec- Agricultural,Y,0,0,
93927,7,2022,Elec- Agricultural,Y,0,0,
93927,8,2022,Elec- Agricultural,Y,0,0,
93927,9,2022,Elec- Agricultural,Y,0,0,
93930,7,2022,Elec- Agricultural,Y,245,10439707,42611
93930,8,2022,Elec- Agricultural,Y,245,10771443,43965
93930,9,2022,Elec- Agricultural,Y,245,8871021,36208
93932,7,2022,Elec- Agricultural,Y,0,0,
93932,8,2022,Elec- Agricultural,Y,0,0,
93932,9,2022,Elec- Agricultural,Y,0,0,
93933,7,2022,Elec- Agricultural,Y,0,0,
93933,8,2022,Elec- Agricultural,Y,0,0,
93933,9,2022,Elec- Agricultural,Y,0,0,
93940,7,2022,Elec- Agricultural,Y,0,0,
93940,8,2022,Elec- Agricultural,Y,0,0,
93940,9,2022,Elec- Agricultural,Y,0,0,
93950,7,2022,Elec- Agricultural,Y,0,0,
93950,8,2022,Elec- Agricultural,Y,0,0,
93950,9,2022,Elec- Agricultural,Y,0,0,
93960,7,2022,Elec- Agricultural,Y,181,15763494,87091
93960,8,2022,Elec- Agricultural,Y,181,15738528,86953
93960,9,2022,Elec- Agricultural,Y,221,13728593,62120
94010,7,2022,Elec- Agricultural,Y,0,0,
94010,8,2022,Elec- Agricultural,Y,0,0,
94010,9,2022,Elec- Agricultural,Y,0,0,
94014,7,2022,Elec- Agricultural,Y,0,0,
94014,8,2022,Elec- Agricultural,Y,0,0,
94014,9,2022,Elec- Agricultural,Y,0,0,
94015,7,2022,Elec- Agricultural,Y,0,0,
94015,8,2022,Elec- Agricultural,Y,0,0,
94015,9,2022,Elec- Agricultural,Y,0,0,
94019,7,2022,Elec- Agricultural,Y,0,0,
94019,8,2022,Elec- Agricultural,Y,0,0,
94019,9,2022,Elec- Agricultural,Y,0,0,
