ZIPCODE,MONTH,YEAR,CUSTOMERCLASS,COMBINED,TOTALCUSTOMERS,TOTALKWH,AVERAGEKWH
93442,6,2022,Elec- Agricultural,Y,0,0,
93444,4,2022,Elec- Agricultural,Y,0,0,
93444,5,2022,Elec- Agricultural,Y,0,0,
93444,6,2022,Elec- Agricultural,Y,0,0,
93445,4,2022,Elec- Agricultural,Y,0,0,
93445,5,2022,Elec- Agricultural,Y,0,0,
93445,6,2022,Elec- Agricultural,Y,0,0,
93446,4,2022,Elec- Agricultural,Y,918,4704775,5125
93446,5,2022,Elec- Agricultural,Y,646,3927788,6080
93446,6,2022,Elec- Agricultural,Y,602,4321230,7178
93449,4,2022,Elec- Agricultural,Y,0,0,
93449,5,2022,Elec- Agricultural,Y,0,0,
93449,6,2022,Elec- Agricultural,Y,0,0,
93450,4,2022,Elec- Agricultural,Y,0,0,
93450,5,2022,Elec- Agricultural,Y,0,0,
93450,6,2022,Elec- Agricultural,Y,0,0,
93451,4,2022,Elec- Agricultural,Y,253,9363546,37010
93451,5,2022,Elec- Agricultural,Y,254,12981248,51107
93451,6,2022,Elec- Agricultural,Y,253,14300443,56523
93452,4,2022,Elec- Agricultural,Y,0,0,
93452,5,2022,Elec- Agricultural,Y,0,0,
93452,6,2022,Elec- Agricultural,Y,0,0,
93453,4,2022,Elec- Agricultural,Y,0,0,
93453,5,2022,Elec- Agricultural,Y,0,0,
93453,6,2022,Elec- Agricultural,Y,0,0,
93454,4,2022,Elec- Agricultural,Y,312,13873672,44467
93454,5,2022,Elec- Agricultural,Y,243,14294049,58823
93454,6,2022,Elec- Agricultural,Y,0,0,
93455,4,2022,Elec- Agricultural,Y,0,0,
93455,5,2022,Elec- Agricultural,Y,0,0,
93455,6,2022,Elec- Agricultural,Y,0,0,
93458,4,2022,Elec- Agricultural,Y,0,0,
93458,5,2022,Elec- Agricultural,Y,0,0,
93458,6,2022,Elec- Agricultural,Y,0,0,
93460,4,2022,Elec- Agricultural,Y,184,725998,3946
93460,5,2022,Elec- Agricultural,Y,299,1690328,5653
93460,6,2022,Elec- Agricultural,Y,540,4108971,7609
93461,4,2022,Elec- Agricultural,Y,0,0,
93461,5,2022,Elec- Agricultural,Y,0,0,
93461,6,2022,Elec- Agricultural,Y,0,0,
93463,4,2022,Elec- Agricultural,Y,0,0,
93463,5,2022,Elec- Agricultural,Y,0,0,
93463,6,2022,Elec- Agricultural,Y,0,0,
93465,4,2022,Elec- Agricultural,Y,0,0,
93465,5,2022,Elec- Agricultural,N,133,298776,2246
93465,6,2022,Elec- Agricultural,N,134,311891,2328
93601,4,2022,Elec- Agricultural,Y,0,0,
93601,5,2022,Elec- Agricultural,Y,0,0,
93601,6,2022,Elec- Agricultural,Y,0,0,
93602,4,2022,Elec- Agricultural,Y,0,0,
93602,5,2022,Elec- Agricultural,Y,0,0,
93602,6,2022,Elec- Agricultural,Y,0,0,
93603,4,2022,Elec- Agricultural,Y,0,0,
93603,5,2022,Elec- Agricultural,Y,0,0,
93603,6,2022,Elec- Agricultural,Y,0,0,
93608,4,2022,Elec- Agricultural,Y,0,0,
93608,5,2022,Elec- Agricultural,Y,0,0,
93608,6,2022,Elec- Agricultural,Y,0,0,
93609,4,2022,Elec- Agricultural,Y,268,7234713,26995
93609,5,2022,Elec- Agricultural,Y,267,10025247,37548
93609,6,2022,Elec- Agricultural,N,228,10464314,45896
93610,4,2022,Elec- Agricultural,N,463,20893603,45127
93610,5,2022,Elec- Agricultural,N,460,34467578,74930
93610,6,2022,Elec- Agricultural,N,459,42923665,93516
93611,4,2022,Elec- Agricultural,Y,0,0,
93611,5,2022,Elec- Agricultural,Y,0,0,
93611,6,2022,Elec- Agricultural,Y,0,0,
93612,4,2022,Elec- Agricultural,Y,0,0,
93612,5,2022,Elec- Agricultural,Y,0,0,
93612,6,2022,Elec- Agricultural,Y,0,0,
93614,4,2022,Elec- Agricultural,Y,0,0,
93614,5,2022,Elec- Agricultural,Y,0,0,
93614,6,2022,Elec- Agricultural,Y,0,0,
93615,4,2022,Elec- Agricultural,Y,0,0,
93615,5,2022,Elec- Agricultural,Y,0,0,
93615,6,2022,Elec- Agricultural,Y,0,0,
93616,4,2022,Elec- Agricultural,Y,0,0,
93616,5,2022,Elec- Agricultural,Y,0,0,
93616,6,2022,Elec- Agricultural,Y,0,0,
93618,4,2022,Elec- Agricultural,Y,557,7027092,12616
93618,5,2022,Elec- Agricultural,Y,554,10420785,18810
93618,6,2022,Elec- Agricultural,Y,555,11211418,20201
93619,4,2022,Elec- Agricultural,Y,0,0,
93619,5,2022,Elec- Agricultural,Y,262,702045,2680
93619,6,2022,Elec- Agricultural,Y,176,403137,2291
93620,4,2022,Elec- Agricultural,N,221,3234428,14635
93620,5,2022,Elec- Agricultural,N,221,5265579,23826
93620,6,2022,Elec- Agricultural,Y,428,21209740,49555
93621,4,2022,Elec- Agricultural,Y,0,0,
93621,5,2022,Elec- Agricultural,Y,0,0,
93621,6,2022,Elec- Agricultural,Y,0,0,
93622,4,2022,Elec- Agricultural,N,251,9467533,37719
93622,5,2022,Elec- Agricultural,N,252,14550940,57742
93622,6,2022,Elec- Agricultural,N,252,18540886,73575
93624,4,2022,Elec- Agricultural,N,110,7521867,68381
93624,5,2022,Elec- Agricultural,N,110,10356929,94154
93624,6,2022,Elec- Agricultural,N,110,12080549,109823
93625,4,2022,Elec- Agricultural,Y,0,0,
93625,5,2022,Elec- Agricultural,Y,0,0,
93625,6,2022,Elec- Agricultural,Y,0,0,
93626,4,2022,Elec- Agricultural,Y,0,0,
93626,5,2022,Elec- Agricultural,Y,0,0,
93626,6,2022,Elec- Agricultural,Y,0,0,
93627,4,2022,Elec- Agricultural,Y,0,0,
93627,5,2022,Elec- Agricultural,Y,0,0,
93627,6,2022,Elec- Agricultural,Y,0,0,
93628,4,2022,Elec- Agricultural,Y,0,0,
93628,5,2022,Elec- Agricultural,Y,0,0,
93628,6,2022,Elec- Agricultural,Y,0,0,
93630,4,2022,Elec- Agricultural,Y,648,17405934,26861
93630,5,2022,Elec- Agricultural,Y,652,25542808,39176
93630,6,2022,Elec- Agricultural,Y,613,22515157,36729
93631,4,2022,Elec- Agricultural,N,492,3761901,7646
93631,5,2022,Elec- Agricultural,N,491,6022031,12265
93631,6,2022,Elec- Agricultural,N,489,6511393,13316
93635,4,2022,Elec- Agricultural,N,279,3943838,14136
93635,5,2022,Elec- Agricultural,N,282,6751195,23940
93635,6,2022,Elec- Agricultural,N,282,7569332,26842
93636,4,2022,Elec- Agricultural,Y,0,0,
93636,5,2022,Elec- Agricultural,Y,0,0,
93636,6,2022,Elec- Agricultural,Y,0,0,
93637,4,2022,Elec- Agricultural,N,673,19073118,28340
93637,5,2022,Elec- Agricultural,N,673,30161660,44817
93637,6,2022,Elec- Agricultural,N,674,38517256,57147
93638,4,2022,Elec- Agricultural,Y,543,7955013,14650
93638,5,2022,Elec- Agricultural,N,320,9527231,29773
93638,6,2022,Elec- Agricultural,Y,422,16233672,38468
93640,4,2022,Elec- Agricultural,Y,298,19531802,65543
93640,5,2022,Elec- Agricultural,Y,296,24945454,84275
93640,6,2022,Elec- Agricultural,Y,298,28803051,96655
93641,4,2022,Elec- Agricultural,Y,0,0,
93641,5,2022,Elec- Agricultural,Y,0,0,
93641,6,2022,Elec- Agricultural,Y,0,0,
93643,4,2022,Elec- Agricultural,Y,0,0,
93643,5,2022,Elec- Agricultural,Y,0,0,
93643,6,2022,Elec- Agricultural,Y,0,0,
93644,4,2022,Elec- Agricultural,Y,0,0,
93644,5,2022,Elec- Agricultural,Y,0,0,
93644,6,2022,Elec- Agricultural,Y,0,0,
93645,4,2022,Elec- Agricultural,Y,0,0,
93645,5,2022,Elec- Agricultural,Y,0,0,
93645,6,2022,Elec- Agricultural,Y,0,0,
93646,4,2022,Elec- Agricultural,Y,0,0,
93646,5,2022,Elec- Agricultural,Y,255,2637221,10342
93646,6,2022,Elec- Agricultural,Y,0,0,
93647,4,2022,Elec- Agricultural,Y,696,4090153,5877
93647,5,2022,Elec- Agricultural,Y,484,4018242,8302
93647,6,2022,Elec- Agricultural,Y,335,2915313,8702
93648,4,2022,Elec- Agricultural,Y,0,0,
93648,5,2022,Elec- Agricultural,Y,235,2980129,12681
93648,6,2022,Elec- Agricultural,Y,0,0,
93650,4,2022,Elec- Agricultural,Y,0,0,
93650,5,2022,Elec- Agricultural,Y,0,0,
93650,6,2022,Elec- Agricultural,Y,0,0,
93651,4,2022,Elec- Agricultural,Y,0,0,
93651,5,2022,Elec- Agricultural,Y,0,0,
93651,6,2022,Elec- Agricultural,Y,0,0,
93652,4,2022,Elec- Agricultural,Y,0,0,
93652,5,2022,Elec- Agricultural,Y,0,0,
93652,6,2022,Elec- Agricultural,Y,0,0,
93653,4,2022,Elec- Agricultural,Y,0,0,
93653,5,2022,Elec- Agricultural,Y,0,0,
93653,6,2022,Elec- Agricultural,Y,0,0,
93654,4,2022,Elec- Agricultural,Y,867,7185579,8288
93654,5,2022,Elec- Agricultural,N,634,7992329,12606
93654,6,2022,Elec- Agricultural,Y,1097,16191078,14759
93656,4,2022,Elec- Agricultural,N,212,8752541,41286
93656,5,2022,Elec- Agricultural,N,212,11419260,53864
93656,6,2022,Elec- Agricultural,N,212,15307083,72203
93657,4,2022,Elec- Agricultural,Y,1012,3329525,3290
93657,5,2022,Elec- Agricultural,N,750,4558789,6078
93657,6,2022,Elec- Agricultural,N,751,5046928,6720
93660,4,2022,Elec- Agricultural,Y,0,0,
93660,5,2022,Elec- Agricultural,Y,0,0,
93660,6,2022,Elec- Agricultural,Y,0,0,
93662,4,2022,Elec- Agricultural,Y,787,7084570,9002
93662,5,2022,Elec- Agricultural,N,568,5516355,9712
93662,6,2022,Elec- Agricultural,N,571,6372245,11160
93666,5,2022,Elec- Agricultural,N,36,283600,7878
93667,4,2022,Elec- Agricultural,Y,0,0,
93667,5,2022,Elec- Agricultural,Y,0,0,
93667,6,2022,Elec- Agricultural,Y,0,0,
93668,4,2022,Elec- Agricultural,Y,0,0,
93668,5,2022,Elec- Agricultural,Y,0,0,
93668,6,2022,Elec- Agricultural,Y,0,0,
93675,4,2022,Elec- Agricultural,Y,0,0,
93675,5,2022,Elec- Agricultural,Y,0,0,
93675,6,2022,Elec- Agricultural,Y,0,0,
93701,4,2022,Elec- Agricultural,Y,0,0,
93701,5,2022,Elec- Agricultural,Y,0,0,
93701,6,2022,Elec- Agricultural,Y,0,0,
93702,4,2022,Elec- Agricultural,Y,0,0,
93702,5,2022,Elec- Agricultural,Y,0,0,
93702,6,2022,Elec- Agricultural,Y,0,0,
93703,4,2022,Elec- Agricultural,Y,0,0,
93703,5,2022,Elec- Agricultural,Y,0,0,
93703,6,2022,Elec- Agricultural,Y,0,0,
93704,4,2022,Elec- Agricultural,Y,0,0,
93704,5,2022,Elec- Agricultural,Y,0,0,
93704,6,2022,Elec- Agricultural,Y,0,0,
93705,4,2022,Elec- Agricultural,Y,0,0,
93705,5,2022,Elec- Agricultural,Y,0,0,
93705,6,2022,Elec- Agricultural,Y,0,0,
93706,4,2022,Elec- Agricultural,Y,0,0,
93706,5,2022,Elec- Agricultural,Y,795,14954597,18811
93706,6,2022,Elec- Agricultural,Y,1225,18197046,14855
93710,4,2022,Elec- Agricultural,Y,0,0,
93710,5,2022,Elec- Agricultural,Y,0,0,
93710,6,2022,Elec- Agricultural,Y,0,0,
93711,4,2022,Elec- Agricultural,Y,0,0,
93711,5,2022,Elec- Agricultural,Y,292,3442480,11789
93711,6,2022,Elec- Agricultural,Y,0,0,
93720,4,2022,Elec- Agricultural,Y,0,0,
93720,5,2022,Elec- Agricultural,Y,0,0,
93720,6,2022,Elec- Agricultural,Y,0,0,
93721,4,2022,Elec- Agricultural,Y,0,0,
93721,5,2022,Elec- Agricultural,Y,0,0,
93721,6,2022,Elec- Agricultural,Y,115,785178,6828
93722,4,2022,Elec- Agricultural,Y,0,0,
93722,5,2022,Elec- Agricultural,Y,207,738064,3566
93722,6,2022,Elec- Agricultural,Y,0,0,
93723,4,2022,Elec- Agricultural,Y,0,0,
93723,5,2022,Elec- Agricultural,N,147,874662,5950
93723,6,2022,Elec- Agricultural,Y,0,0,
93725,4,2022,Elec- Agricultural,Y,2191,20255319,9245
93725,5,2022,Elec- Agricultural,Y,996,9546183,9585
93725,6,2022,Elec- Agricultural,Y,801,9291770,11600
93726,4,2022,Elec- Agricultural,Y,0,0,
93726,5,2022,Elec- Agricultural,Y,0,0,
93726,6,2022,Elec- Agricultural,Y,0,0,
93727,4,2022,Elec- Agricultural,Y,0,0,
93727,5,2022,Elec- Agricultural,Y,0,0,
93727,6,2022,Elec- Agricultural,Y,327,1698062,5193
93728,4,2022,Elec- Agricultural,Y,0,0,
93728,5,2022,Elec- Agricultural,Y,0,0,
93728,6,2022,Elec- Agricultural,Y,0,0,
93730,4,2022,Elec- Agricultural,Y,0,0,
93730,5,2022,Elec- Agricultural,Y,0,0,
93730,6,2022,Elec- Agricultural,Y,0,0,
93737,4,2022,Elec- Agricultural,Y,0,0,
93737,5,2022,Elec- Agricultural,Y,0,0,
93737,6,2022,Elec- Agricultural,Y,0,0,
93740,4,2022,Elec- Agricultural,Y,0,0,
93740,5,2022,Elec- Agricultural,Y,0,0,
93740,6,2022,Elec- Agricultural,Y,0,0,
93741,4,2022,Elec- Agricultural,Y,0,0,
93741,5,2022,Elec- Agricultural,Y,0,0,
93741,6,2022,Elec- Agricultural,Y,0,0,
93901,4,2022,Elec- Agricultural,Y,0,0,
93901,5,2022,Elec- Agricultural,Y,319,20313589,63679
93901,6,2022,Elec- Agricultural,Y,320,21617605,67555
93905,4,2022,Elec- Agricultural,Y,0,0,
93905,5,2022,Elec- Agricultural,Y,0,0,
93905,6,2022,Elec- Agricultural,Y,0,0,
93906,4,2022,Elec- Agricultural,Y,0,0,
93906,5,2022,Elec- Agricultural,Y,0,0,
93906,6,2022,Elec- Agricultural,Y,0,0,
93907,4,2022,Elec- Agricultural,Y,0,0,
93907,5,2022,Elec- Agricultural,Y,0,0,
93907,6,2022,Elec- Agricultural,Y,0,0,
93908,4,2022,Elec- Agricultural,Y,517,27370757,52942
93908,5,2022,Elec- Agricultural,Y,206,11690620,56751
93908,6,2022,Elec- Agricultural,Y,214,11546399,53955
93920,4,2022,Elec- Agricultural,Y,0,0,
93920,5,2022,Elec- Agricultural,Y,0,0,
93920,6,2022,Elec- Agricultural,Y,0,0,
93923,4,2022,Elec- Agricultural,Y,0,0,
93923,5,2022,Elec- Agricultural,Y,0,0,
93923,6,2022,Elec- Agricultural,Y,0,0,
93924,4,2022,Elec- Agricultural,Y,0,0,
93924,5,2022,Elec- Agricultural,Y,0,0,
93924,6,2022,Elec- Agricultural,Y,57,72145,1266
93925,4,2022,Elec- Agricultural,Y,0,0,
93925,5,2022,Elec- Agricultural,Y,0,0,
93925,6,2022,Elec- Agricultural,Y,0,0,
93926,4,2022,Elec- Agricultural,Y,0,0,
93926,5,2022,Elec- Agricultural,Y,0,0,
93926,6,2022,Elec- Agricultural,Y,0,0,
93927,4,2022,Elec- Agricultural,Y,0,0,
93927,5,2022,Elec- Agricultural,Y,0,0,
93927,6,2022,Elec- Agricultural,Y,0,0,
93930,4,2022,Elec- Agricultural,Y,471,18105796,38441
93930,5,2022,Elec- Agricultural,Y,468,22302690,47655
93930,6,2022,Elec- Agricultural,Y,245,9649945,39388
93932,4,2022,Elec- Agricultural,Y,0,0,
93932,5,2022,Elec- Agricultural,Y,0,0,
93932,6,2022,Elec- Agricultural,Y,0,0,
93933,4,2022,Elec- Agricultural,Y,0,0,
93933,5,2022,Elec- Agricultural,Y,0,0,
93933,6,2022,Elec- Agricultural,Y,0,0,
93940,4,2022,Elec- Agricultural,Y,0,0,
93940,5,2022,Elec- Agricultural,Y,0,0,
93940,6,2022,Elec- Agricultural,Y,0,0,
93950,4,2022,Elec- Agricultural,Y,0,0,
93950,5,2022,Elec- Agricultural,Y,0,0,
93950,6,2022,Elec- Agricultural,Y,0,0,
93960,4,2022,Elec- Agricultural,Y,0,0,
93960,5,2022,Elec- Agricultural,Y,0,0,
93960,6,2022,Elec- Agricultural,Y,182,15375537,84481
94010,4,2022,Elec- Agricultural,Y,0,0,
94010,5,2022,Elec- Agricultural,Y,0,0,
94010,6,2022,Elec- Agricultural,Y,0,0,
94014,4,2022,Elec- Agricultural,Y,0,0,
94014,5,2022,Elec- Agricultural,Y,0,0,
94014,6,2022,Elec- Agricultural,Y,0,0,
94015,4,2022,Elec- Agricultural,Y,0,0,
94015,5,2022,Elec- Agricultural,Y,0,0,
94015,6,2022,Elec- Agricultural,Y,0,0,
94019,4,2022,Elec- Agricultural,Y,0,0,
94019,5,2022,Elec- Agricultural,Y,0,0,
94019,6,2022,Elec- Agricultural,Y,0,0,
94020,4,2022,Elec- Agricultural,Y,0,0,
94020,5,2022,Elec- Agricultural,Y,0,0,
